Density_uncert,Density_values,Dyn_G_horz_uncert,Dyn_G_horz_values,Dyn_G_vert_uncert,Dyn_G_vert_values,Eff_Por_uncert,Eff_Por_values,KIC_uncert,KIC_values,MD,Perm_uncert,Perm_values,Pois_xy_uncert,Pois_xy_values,Pois_zx_uncert,Pois_zx_values,RHOB_Recon_uncert,RHOB_Recon_values,Static_E_horz_uncert,Static_E_horz_values,Static_E_vert_uncert,Static_E_vert_values,Tensile_Strength_uncert,Tensile_Strength_values,VPV_Recon_uncert,VPV_Recon_values,unique_well_id
0.0,2.547,317294.76573504246,2466551.460678035,250814.24337950503,1813324.1532936685,0.005013781819513323,0.05132170779540082,110.97458375223856,2567.5147838750354,5554.0,70.86407546953032,1103.8265105894366,0.029477228600264593,0.17585816021986633,0.029477228600264593,0.17585816021986633,0.0,2.547,604904.6997384386,5800629.325280996,493078.60564158106,4264424.00554828,106.95919041985111,1616.5409591014652,470.41487272544117,15152.82236923878,BUCHANAN_42_WDVG_Petrophysic
0.0,2.539,315068.55602851574,2428489.3308365177,247183.35426135408,1771446.5219401123,0.005013801505482473,0.05282743022627045,111.00165674992269,2587.0132188741527,5554.5,70.93133015657699,1181.442602018832,0.02947787207767125,0.1780929075415091,0.02947787207767125,0.1780929075415091,0.0,2.539,604956.5850355779,5721972.113397454,488848.17342687264,4173857.1671734415,107.14690402639226,1598.5249921622135,469.13182265201397,15028.381695940083,BUCHANAN_42_WDVG_Petrophysic
0.0,2.542,313902.186761617,2456235.5511510177,249898.5171790323,1813735.0652404441,0.005013807368201516,0.052298284650238426,110.99230847037077,2616.850807528833,5555.0,70.91576013821201,1157.4285077034508,0.029477623745952503,0.18696347775235816,0.029477623745952503,0.18696347775235816,0.0,2.542,604938.6681658138,5830923.783946384,496912.4340463636,4305674.561518395,107.08211872275822,1603.4957246743404,468.45474468823863,15052.936851821438,BUCHANAN_42_WDVG_Petrophysic
0.0,2.559,315540.6684231621,2566888.956107615,258486.96304352584,1944602.4697282752,0.005013749797475958,0.049141746712994344,110.93602397255452,2641.4922748413283,5555.5,70.77746732317189,1003.8504031330003,0.029476416100049918,0.19886371326127142,0.029476416100049918,0.19886371326127142,0.0,2.559,604830.8142367876,6154700.050897048,513746.19891827024,4662626.6753509585,106.69134108352245,1638.9622870351027,469.0594170539748,15285.122945828321,BUCHANAN_42_WDVG_Petrophysic
0.0,2.578,319132.9830634527,2692463.5825629914,269531.46351475676,2097737.6972244936,0.0050136318462869894,0.04557883255757453,110.87562305106384,2642.2630576818256,5556.0,70.6149401461779,843.2353849652883,0.02947545133575674,0.20627917085637784,0.02947545133575674,0.20627917085637784,0.0,2.578,604715.1117753884,6495725.475870156,532538.9440226419,5060914.580164259,106.27060685423139,1678.6664421497378,469.71613523649023,15554.099723341727,BUCHANAN_42_WDVG_Petrophysic
0.0,2.591,322624.64018707,2791961.0889695324,278166.9598578191,2216559.9623535243,0.005013543776434873,0.04313599757788125,110.83725590045098,2636.008051070632,5556.5,70.51206044428278,743.4431212439875,0.02947499185372043,0.2101008278260906,0.02947499185372043,0.2101008278260906,0.0,2.591,604641.6378766313,6757108.850040529,546081.6755296036,5364522.090740335,106.00260535598152,1705.1120067288925,469.95695936339007,15734.02318904438,BUCHANAN_42_WDVG_Petrophysic
0.0,2.591,322385.7545017377,2781275.7881167866,275148.6224334376,2188398.9552698727,0.005013607001898044,0.04316182889439702,110.84115486375285,2633.8945413482134,5557.0,70.51856379898089,746.423966120075,0.029474994846588973,0.20915557828497947,0.029474994846588973,0.20915557828497947,0.0,2.591,604649.1037199077,6725990.2679007305,540044.9839320254,5292229.608555175,106.02986700454909,1703.8787343385181,470.06875437925663,15717.558401209128,BUCHANAN_42_WDVG_Petrophysic
0.0,2.573,319560.3503791867,2688512.787287567,270429.64397578256,2096729.6120908628,0.005013624304056857,0.04649894629897993,110.88840884443121,2639.0813210119245,5557.5,70.65126548571405,881.4601647390381,0.02947566537238555,0.20406092395893885,0.02947566537238555,0.20406092395893885,0.0,2.573,604739.6005035018,6474266.38147378,533691.9570623311,5049180.388052383,106.35978848083809,1669.2433166003757,469.59941888881724,15495.682466216402,BUCHANAN_42_WDVG_Petrophysic
0.0,2.554,315387.30773775256,2592220.409022433,270103.47303783015,2042337.5316081971,0.005013315078761816,0.049874395738810764,110.9208800166432,2663.579732406486,5558.0,70.75049809609833,1019.8141268679396,0.029476655838259938,0.2037191240413849,0.029476655838259938,0.2037191240413849,0.0,2.554,604801.8010224379,6240610.560141368,538583.9554423442,4916801.489088527,106.58598744525723,1638.5684684917962,468.73871414463673,15342.595733460888,BUCHANAN_42_WDVG_Petrophysic
0.0,2.536,311484.89058185834,2493733.1325179315,271055.0632636548,1994452.781819034,0.005012848369332253,0.052977407865846614,110.94193976204136,2682.6540803501366,5558.5,70.7999689031026,1148.2116877450549,0.02947787268228597,0.20230802931936684,0.02947787268228597,0.20230802931936684,0.0,2.536,604842.1485695513,5996470.736412091,545533.5239712186,4795893.1873587435,106.7324717696148,1613.2390849924932,468.20204398829276,15247.010960071833,BUCHANAN_42_WDVG_Petrophysic
