Density_uncert,Density_values,Dyn_G_horz_uncert,Dyn_G_horz_values,Dyn_G_vert_uncert,Dyn_G_vert_values,Eff_Por_uncert,Eff_Por_values,KIC_uncert,KIC_values,MD,Perm_uncert,Perm_values,Pois_xy_uncert,Pois_xy_values,Pois_zx_uncert,Pois_zx_values,RHOB_Recon_uncert,RHOB_Recon_values,Static_E_horz_uncert,Static_E_horz_values,Static_E_vert_uncert,Static_E_vert_values,Tensile_Strength_uncert,Tensile_Strength_values,VPV_Recon_uncert,VPV_Recon_values,unique_well_id
0.0,2.527463,330991.26119977137,2505798.14107221,280828.9700781505,1977541.9410051953,0.005011879681166264,0.053778448174848,110.89630920512869,2435.243770749584,5385.0,70.64960827763028,1115.1842988996268,0.029478310601378278,0.1332779322496713,0.029478310601378278,0.1332779322496713,0.0,2.527463,604754.7330406896,5679531.471898768,529299.175944428,4482209.283678738,106.41486171717214,1636.2652145970726,481.26754635698205,15652.189319303943,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.533723,331831.71279836405,2536604.380186102,282768.78550760465,2010062.045539245,0.0050119336863135005,0.05265345018480204,110.88169503239554,2433.709145729744,5385.5,70.62597202783286,1063.2514713466294,0.029477801135930876,0.1351948205833093,0.029477801135930876,0.1351948205833093,0.0,2.533723,604726.7412593729,5759080.308512397,532184.6221193337,4563624.046294486,106.31296731049932,1647.3697609112799,481.31210214239553,15717.636612863584,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.539982,333263.6060554356,2577093.9614971345,286793.36623656406,2059991.0908425094,0.005012006692455773,0.05153096327744897,110.86895238689236,2428.2908202608232,5386.0,70.60168595839045,1013.0506856344678,0.029477341459004144,0.13667520177903794,0.029477341459004144,0.13667520177903794,0.0,2.539982,604702.3361284371,5858637.5973765915,538376.7537079208,4683081.57769286,106.22405296094551,1658.1900808107637,481.5960707538226,15779.825181773565,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.546242,327550.30902995524,2565481.364633653,280023.87693067186,2034573.7849548957,0.005012408841810285,0.05069106070787328,110.87990300075398,2486.0973790752373,5386.5,70.63784390729532,1001.5860378656707,0.02947699287547025,0.15460462895051766,0.02947699287547025,0.15460462895051766,0.0,2.546242,604723.3089918628,5924233.318184612,535106.2989393746,4698256.620100595,106.30046692923659,1654.3977726782573,476.50550029574663,15646.946282946781,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.552502,322342.4084952736,2557128.313120981,275038.9929203836,2021820.5862661197,0.005012672685994959,0.049739667126154644,110.88074351113104,2544.7785480673024,5387.0,70.6477708545136,976.0559924794603,0.029476636722389666,0.1718419042074153,0.029476636722389666,0.1718419042074153,0.0,2.552502,604724.9188118911,5993100.223500772,534326.3609544565,4738508.171551685,106.30633009752154,1656.3917851765523,473.38300034964266,15591.85850845571,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.58,325814.1404991818,2685455.082938091,282568.579519118,2158571.583032162,0.00501268972705112,0.04466913278155239,110.8103982181271,2538.496342642645,5387.5,70.47544613527246,763.5818482408345,0.02947530123340876,0.18017472653903313,0.02947530123340876,0.18017472653903313,0.0,2.58,604590.2146713466,6338612.436278637,545501.5097000169,5094983.25543982,105.8146510503721,1708.6910947893225,473.8771501531214,15929.302783345871,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.598,329700.70066155214,2787466.7783511565,289839.60595128627,2271432.9361668876,0.005012590196906722,0.04128469098146461,110.76287708284188,2522.1339583564013,5388.0,70.36338667103261,637.1549463961536,0.029474772567563253,0.18313365719134078,0.029474772567563253,0.18313365719134078,0.0,2.598,604499.2478962211,6595891.527539936,554891.2847419084,5374817.5136639895,105.48138215143507,1744.3768426067254,474.23146708678695,16178.692226760637,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.605,332801.47974351957,2847778.217978271,294695.51361604367,2336929.6373786554,0.005012516074164243,0.03994181620789703,110.7434618815395,2506.637426016996,5388.5,70.32121545369333,590.0072513244108,0.029474630093821008,0.1822176984150428,0.029474630093821008,0.1822176984150428,0.0,2.605,604462.0898650641,6733387.620909528,560151.9285776716,5525519.154519388,105.34495992629734,1759.145098898888,474.6328605497383,16290.546183645081,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.589,332182.236106309,2798524.651959452,292028.897309359,2277047.014836825,0.005012604093126361,0.04293623231381744,110.7838523562616,2507.212780635426,5389.0,70.41080006796078,693.8776262826657,0.029475003661764778,0.17626450909599833,0.029475003661764778,0.17626450909599833,0.0,2.589,604539.3964440577,6583610.4518602695,555356.141558654,5356819.178191094,105.6285951505143,1728.6529407453522,475.0337833107311,16082.562121593204,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
0.0,2.559,329346.40880369593,2680914.997291083,285001.2689633378,2144477.8822978856,0.005012623981870053,0.04848747327188292,110.85958432408418,2514.4168253124008,5389.5,70.59469127521434,915.7269176702476,0.029476246854007942,0.16703894591091198,0.029476246854007942,0.16703894591091198,0.0,2.559,604684.3952693451,6257464.425030682,544513.5452663138,5005378.414572379,106.15864445970594,1671.7491980991351,474.76267645897616,15710.155488966135,BET_THE_FARM_UNIT1_1_WDVG_Petrophysic
