Well,UWI,Surface,MD,iLayer
BARR RANCH 1,4.22273E+13,SPRBU,5437.66,0
BARR RANCH 1,4.22273E+13,SPRBM,5749.92,1
BARR RANCH 1,4.22273E+13,SPRBL,5987.4,2
BARR RANCH 1,4.22273E+13,JMLL,6317.96,3
BARR RANCH 1,4.22273E+13,SPRBLSH,6404.72,4
BARR RANCH 1,4.22273E+13,DEAN,6674.26,5
BARR RANCH 1,4.22273E+13,WFMPA,6790.42,6
BARR RANCH 1,4.22273E+13,WFMPB,7004.62,7
BARR RANCH 1,4.22273E+13,WFMPC,7361.12,8
BARR RANCH 1,4.22273E+13,CLINE,7783.31,9
BARR RANCH 1,4.22273E+13,STRN,8018.6,10
