Well,UWI,Surface,MD,iLayer
LAITALA 2,4.22273E+13,SPRBU,5249.52,0
LAITALA 2,4.22273E+13,SPRBM,5577.79,1
LAITALA 2,4.22273E+13,SPRBL,5797.42,2
LAITALA 2,4.22273E+13,JMLL,6136.76,3
LAITALA 2,4.22273E+13,SPRBLSH,6220.65,4
LAITALA 2,4.22273E+13,DEAN,6478.31,5
LAITALA 2,4.22273E+13,WFMPA,6591.36,6
LAITALA 2,4.22273E+13,WFMPB,6808.66,7
LAITALA 2,4.22273E+13,WFMPC,7159.09,8
LAITALA 2,4.22273E+13,CLINE,7702.92,9
LAITALA 2,4.22273E+13,STRN,7997.63,10
