Well,UWI,Surface,MD,iLayer
OLDHAM 39 2,4.22273E+13,SPRBU,5261.4,0
OLDHAM 39 2,4.22273E+13,SPRBM,5567.94,1
OLDHAM 39 2,4.22273E+13,SPRBL,5803.09,2
OLDHAM 39 2,4.22273E+13,JMLL,6114.99,3
OLDHAM 39 2,4.22273E+13,SPRBLSH,6199.34,4
OLDHAM 39 2,4.22273E+13,DEAN,6471.7,5
OLDHAM 39 2,4.22273E+13,WFMPA,6584.02,6
OLDHAM 39 2,4.22273E+13,WFMPB,6831.9,7
OLDHAM 39 2,4.22273E+13,WFMPC,7149.44,8
OLDHAM 39 2,4.22273E+13,CLINE,7733.61,9
OLDHAM 39 2,4.22273E+13,STRN,8080.3,10
