Well,UWI,Surface,MD,iLayer
TAYLOR 1,4.22273E+13,SPRBL,5859.15,2
TAYLOR 1,4.22273E+13,JMLL,6191.01,3
TAYLOR 1,4.22273E+13,SPRBLSH,6271.03,4
TAYLOR 1,4.22273E+13,DEAN,6526.75,5
TAYLOR 1,4.22273E+13,WFMPA,6649.12,6
TAYLOR 1,4.22273E+13,WFMPB,7015.42,7
TAYLOR 1,4.22273E+13,WFMPC,7274.37,8
TAYLOR 1,4.22273E+13,CLINE,7897.26,9
TAYLOR 1,4.22273E+13,STRN,8255.71,10
