Well,UWI,Surface,MD,iLayer
THOMPSON 24 1,4.22273E+13,SPRBU,5369.05,0
THOMPSON 24 1,4.22273E+13,SPRBM,5691.9,1
THOMPSON 24 1,4.22273E+13,SPRBL,5917.73,2
THOMPSON 24 1,4.22273E+13,JMLL,6261.87,3
THOMPSON 24 1,4.22273E+13,SPRBLSH,6346.54,4
THOMPSON 24 1,4.22273E+13,DEAN,6619.44,5
THOMPSON 24 1,4.22273E+13,WFMPA,6733.88,6
THOMPSON 24 1,4.22273E+13,WFMPB,6939.71,7
THOMPSON 24 1,4.22273E+13,WFMPC,7285.03,8
THOMPSON 24 1,4.22273E+13,CLINE,7704.94,9
