Well,UWI,Surface,MD,iLayer
MORGAN-NEAL 39-26 3WB,4.22274E+13,SPRBU,5365.61,0
MORGAN-NEAL 39-26 3WB,4.22274E+13,SPRBM,5655.12,1
MORGAN-NEAL 39-26 3WB,4.22274E+13,SPRBL,5889.5,2
