Well,UWI,Surface,MD,iLayer
OLDHAM TRUST 4051 WA,4.22274E+13,SPRBL,6004,2
OLDHAM TRUST 4051 WA,4.22274E+13,JMLL,6320.56,3
OLDHAM TRUST 4051 WA,4.22274E+13,SPRBLSH,6405.44,4
OLDHAM TRUST 4051 WA,4.22274E+13,DEAN,6675.3,5
OLDHAM TRUST 4051 WA,4.22274E+13,WFMPA,6791.99,6
OLDHAM TRUST 4051 WA,4.22274E+13,WFMPB,7085.27,7
OLDHAM TRUST 4051 WA,4.22274E+13,WFMPC,7404.7,8
OLDHAM TRUST 4051 WA,4.22274E+13,CLINE,7909.9,9
OLDHAM TRUST 4051 WA,4.22274E+13,STRN,8240.66,10
