Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,
BARR RANCH 1,6624.070979,3,0,0,0,0,
BARR RANCH 1,6630.028831,3,0,0,0,0,
BARR RANCH 1,6632.715685,2,0,0,0,0,
BARR RANCH 1,6635.986684,3,0,0,0,0,
BARR RANCH 1,6641.944537,3,0,0,0,0,
BARR RANCH 1,6647.571701,2,0,0,0,0,
BARR RANCH 1,6647.902389,3,0,0,0,0,
BARR RANCH 1,6653.860242,3,0,0,0,0,
BARR RANCH 1,6659.818095,3,0,0,0,0,
BARR RANCH 1,6662.427718,2,0,0,0,0,
BARR RANCH 1,6665.775947,3,0,0,0,0,
BARR RANCH 1,6671.7338,3,0,0,0,0,5.957853
BARR RANCH 1,6687.61491,3,0,0,0,0,
BARR RANCH 1,6710.800993,3,0,0,0,0,
BARR RANCH 1,6733.987076,3,0,0,0,0,
BARR RANCH 1,6757.17316,3,0,0,0,0,
BARR RANCH 1,6780.359243,3,0,0,0,0,
BARR RANCH 1,6793.377536,2,0,0,0,0,
BARR RANCH 1,6794.760556,3,0,0,0,0,
BARR RANCH 1,6798.334219,0,0,3,0,0,
BARR RANCH 1,6802.428211,3,0,0,0,0,
BARR RANCH 1,6802.845407,0,0,2,0,0,
BARR RANCH 1,6806.248437,0,0,3,0,0,
BARR RANCH 1,6807.908312,2,0,0,0,0,
BARR RANCH 1,6810.095867,3,0,0,0,0,
BARR RANCH 1,6814.162656,0,0,3,0,0,
BARR RANCH 1,6815.270815,0,0,2,0,0,
BARR RANCH 1,6817.763523,3,0,0,0,0,
BARR RANCH 1,6822.076875,0,0,3,0,0,
BARR RANCH 1,6822.439089,2,0,0,0,0,
BARR RANCH 1,6825.431179,3,0,0,0,0,
BARR RANCH 1,6827.696222,0,0,2,0,0,
BARR RANCH 1,6829.991093,0,0,3,0,0,
BARR RANCH 1,6833.098834,3,0,0,0,0,
BARR RANCH 1,6836.969865,2,0,0,0,0,
BARR RANCH 1,6837.905312,0,0,3,0,0,
BARR RANCH 1,6840.121629,0,0,2,0,0,
BARR RANCH 1,6840.76649,3,0,0,0,0,
BARR RANCH 1,6845.819531,0,0,3,0,0,
BARR RANCH 1,6848.434146,3,0,0,0,0,
BARR RANCH 1,6851.500641,2,0,0,0,0,
BARR RANCH 1,6852.547036,0,0,2,0,0,
BARR RANCH 1,6853.733749,0,0,3,0,0,
BARR RANCH 1,6856.101802,3,0,0,0,0,
BARR RANCH 1,6861.647968,0,0,3,0,0,
BARR RANCH 1,6863.769457,3,0,0,0,0,
BARR RANCH 1,6864.972444,0,0,2,0,0,
BARR RANCH 1,6866.031417,2,0,0,0,0,
BARR RANCH 1,6869.562187,0,0,3,0,0,
BARR RANCH 1,6871.437113,3,0,0,0,0,
BARR RANCH 1,6877.397851,0,0,2,0,0,
BARR RANCH 1,6877.476405,0,0,3,0,0,
BARR RANCH 1,6879.104769,3,0,0,0,0,
BARR RANCH 1,6880.562193,2,0,0,0,0,
BARR RANCH 1,6885.390624,0,0,3,0,0,
BARR RANCH 1,6886.772425,3,0,0,0,0,
BARR RANCH 1,6889.823258,0,0,2,0,0,
BARR RANCH 1,6893.304843,0,0,3,0,0,
BARR RANCH 1,6894.440081,3,0,0,0,0,
BARR RANCH 1,6895.09297,2,0,0,0,0,
BARR RANCH 1,6897.52,0,0,4,0,0,
BARR RANCH 1,6901.219062,0,0,3,0,0,
BARR RANCH 1,6902.107736,3,0,0,0,0,
BARR RANCH 1,6902.248665,0,0,2,0,0,
BARR RANCH 1,6909.13328,0,0,3,0,0,
BARR RANCH 1,6909.623746,2,0,0,0,0,
BARR RANCH 1,6909.775392,3,0,0,0,0,
BARR RANCH 1,6914.674073,0,0,2,0,0,
BARR RANCH 1,6917.047499,0,0,3,0,0,
BARR RANCH 1,6917.443048,3,0,0,0,0,
BARR RANCH 1,6924.154522,2,0,0,0,0,
BARR RANCH 1,6924.961718,0,0,3,0,0,
BARR RANCH 1,6925.110704,3,0,0,0,0,
BARR RANCH 1,6927.09948,0,0,2,0,0,
BARR RANCH 1,6932.778359,3,0,0,0,0,
BARR RANCH 1,6932.875936,0,0,3,0,0,
BARR RANCH 1,6934.058069,0,0,1,0,0,
BARR RANCH 1,6938.685298,2,0,0,0,0,
BARR RANCH 1,6939.524887,0,0,2,0,0,
BARR RANCH 1,6940.446015,3,0,0,0,0,
BARR RANCH 1,6940.790155,0,0,3,0,0,
BARR RANCH 1,6948.113671,3,0,0,0,0,
BARR RANCH 1,6948.704374,0,0,3,0,0,
BARR RANCH 1,6951.950295,0,0,2,0,0,
BARR RANCH 1,6953.216074,2,0,0,0,0,
BARR RANCH 1,6955.781327,3,0,0,0,0,
BARR RANCH 1,6956.618592,0,0,3,0,0,
BARR RANCH 1,6963.448982,3,0,0,0,0,
BARR RANCH 1,6964.375702,0,0,2,0,0,
BARR RANCH 1,6964.532811,0,0,3,0,0,
BARR RANCH 1,6967.746851,2,0,0,0,0,
BARR RANCH 1,6971.116638,3,0,0,0,0,
BARR RANCH 1,6972.44703,0,0,3,0,0,
BARR RANCH 1,6976.801109,0,0,2,0,0,
BARR RANCH 1,6978.784294,3,0,0,0,0,
BARR RANCH 1,6980.361248,0,0,3,0,0,
BARR RANCH 1,6982.277627,2,0,0,0,0,
BARR RANCH 1,6986.45195,3,0,0,0,0,
BARR RANCH 1,6988.275467,0,0,3,0,0,
BARR RANCH 1,6989.226516,0,0,2,0,0,
BARR RANCH 1,6994.119606,3,0,0,0,0,
BARR RANCH 1,6996.189686,0,0,3,0,0,
BARR RANCH 1,6996.808403,2,0,0,0,0,
BARR RANCH 1,7001.651924,0,0,2,0,0,
BARR RANCH 1,7001.787261,3,0,0,0,0,
BARR RANCH 1,7004.103904,0,0,3,0,0,
BARR RANCH 1,7011.290289,3,0,0,0,0,
BARR RANCH 1,7013.463544,0,0,1,0,0,
BARR RANCH 1,7017.089128,0,0,2,0,0,
BARR RANCH 1,7017.925977,2,0,0,0,0,
BARR RANCH 1,7021.868645,3,0,0,0,0,
BARR RANCH 1,7026.933821,0,0,3,0,0,
BARR RANCH 1,7030.846367,0,0,1,0,0,
BARR RANCH 1,7032.447002,3,0,0,0,0,
BARR RANCH 1,7033.47155,0,0,2,0,0,
BARR RANCH 1,7043.025358,3,0,0,0,0,
BARR RANCH 1,7046.701246,2,0,0,0,0,
BARR RANCH 1,7048.229189,0,0,1,0,0,
BARR RANCH 1,7049.853973,0,0,2,0,0,
BARR RANCH 1,7050.804263,0,0,3,0,0,
BARR RANCH 1,7053.603715,3,0,0,0,0,
BARR RANCH 1,7064.182072,3,0,0,0,0,
BARR RANCH 1,7065.612012,0,0,1,0,0,
BARR RANCH 1,7066.236395,0,0,2,0,0,
BARR RANCH 1,7074.674704,0,0,3,0,0,
BARR RANCH 1,7074.760428,3,0,0,0,0,
BARR RANCH 1,7075.476514,2,0,0,0,0,
BARR RANCH 1,7082.618818,0,0,2,0,0,
BARR RANCH 1,7082.994835,0,0,1,0,0,
BARR RANCH 1,7085.338785,3,0,0,0,0,
