,MD,Well
145,7617.63,unknown
146,7634.41,unknown
147,7651.19,unknown
148,7667.969999999999,unknown
149,7684.75,unknown
150,7701.53,unknown
151,7718.3099999999995,unknown
152,7735.09,unknown
153,7751.87,unknown
154,7768.65,unknown
155,7785.429999999999,unknown
156,7802.21,unknown
157,7818.99,unknown
158,7835.7699999999995,unknown
159,7852.549999999999,unknown
160,7869.33,unknown
161,7886.11,unknown
162,7904.840526315789,unknown
163,7923.571052631579,unknown
164,7942.301578947368,unknown
165,7961.032105263158,unknown
166,7979.762631578947,unknown
167,7998.493157894736,unknown
168,8017.223684210526,unknown
169,8035.954210526315,unknown
170,8054.684736842105,unknown
171,8073.4152631578945,unknown
172,8092.145789473684,unknown
173,8110.876315789474,unknown
174,8129.606842105263,unknown
175,8148.337368421053,unknown
176,8167.0678947368415,unknown
177,8185.798421052631,unknown
178,8204.52894736842,unknown
179,8223.259473684211,unknown
0,5859.15,TAYLOR 1
1,5874.234545454545,TAYLOR 1
2,5889.319090909091,TAYLOR 1
3,5904.403636363636,TAYLOR 1
4,5919.488181818181,TAYLOR 1
5,5934.572727272727,TAYLOR 1
6,5949.657272727272,TAYLOR 1
7,5964.741818181818,TAYLOR 1
8,5979.826363636364,TAYLOR 1
9,5994.910909090909,TAYLOR 1
10,6009.995454545455,TAYLOR 1
11,6025.08,TAYLOR 1
12,6040.164545454545,TAYLOR 1
13,6055.249090909091,TAYLOR 1
14,6070.333636363636,TAYLOR 1
15,6085.418181818181,TAYLOR 1
16,6100.5027272727275,TAYLOR 1
17,6115.587272727273,TAYLOR 1
18,6130.671818181819,TAYLOR 1
19,6145.756363636364,TAYLOR 1
20,6160.840909090909,TAYLOR 1
21,6175.925454545455,TAYLOR 1
22,6191.01,TAYLOR 1
23,6204.346666666666,TAYLOR 1
24,6217.683333333333,TAYLOR 1
25,6231.02,TAYLOR 1
26,6244.356666666667,TAYLOR 1
27,6257.693333333333,TAYLOR 1
28,6271.03,TAYLOR 1
29,6285.236666666667,TAYLOR 1
30,6299.443333333333,TAYLOR 1
31,6313.65,TAYLOR 1
32,6327.856666666667,TAYLOR 1
33,6342.0633333333335,TAYLOR 1
34,6356.2699999999995,TAYLOR 1
35,6370.4766666666665,TAYLOR 1
36,6384.683333333333,TAYLOR 1
37,6398.889999999999,TAYLOR 1
38,6413.096666666666,TAYLOR 1
39,6427.303333333333,TAYLOR 1
40,6441.51,TAYLOR 1
41,6455.716666666666,TAYLOR 1
42,6469.923333333333,TAYLOR 1
43,6484.13,TAYLOR 1
44,6498.336666666667,TAYLOR 1
45,6512.543333333333,TAYLOR 1
46,6526.75,TAYLOR 1
47,6542.04625,TAYLOR 1
48,6557.3425,TAYLOR 1
49,6572.63875,TAYLOR 1
50,6587.9349999999995,TAYLOR 1
51,6603.23125,TAYLOR 1
52,6618.5275,TAYLOR 1
53,6633.82375,TAYLOR 1
54,6649.12,TAYLOR 1
55,6670.667058823529,TAYLOR 1
56,6692.214117647059,TAYLOR 1
57,6713.761176470588,TAYLOR 1
58,6735.308235294117,TAYLOR 1
59,6756.855294117647,TAYLOR 1
60,6778.402352941176,TAYLOR 1
61,6799.9494117647055,TAYLOR 1
62,6821.496470588235,TAYLOR 1
63,6843.043529411765,TAYLOR 1
64,6864.5905882352945,TAYLOR 1
65,6886.137647058824,TAYLOR 1
66,6907.684705882353,TAYLOR 1
67,6929.231764705883,TAYLOR 1
68,6950.778823529412,TAYLOR 1
69,6972.325882352941,TAYLOR 1
70,6993.872941176471,TAYLOR 1
71,7015.42,TAYLOR 1
72,7027.750952380952,TAYLOR 1
73,7040.081904761905,TAYLOR 1
74,7052.412857142857,TAYLOR 1
75,7064.743809523809,TAYLOR 1
