Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2729.788204,0,1,0,0,0,8955.99833
PEL_NQ_APO-1001A,2729.80823,0,0,1,0,0,8956.064034
PEL_NQ_APO-1001A,2730.244426,0,0,0,1,0,8957.495121
PEL_NQ_APO-1001A,2730.357787,3,0,0,0,0,8957.867043
PEL_NQ_APO-1001A,2730.617821,1,0,0,0,0,8958.720172
PEL_NQ_APO-1001A,2730.622024,0,1,0,0,0,8958.733962
PEL_NQ_APO-1001A,2730.644053,0,0,1,0,0,8958.806236
PEL_NQ_APO-1001A,2731.162306,3,0,0,0,0,8960.50654
PEL_NQ_APO-1001A,2731.451259,1,0,0,0,0,8961.45455
PEL_NQ_APO-1001A,2731.455845,0,1,0,0,0,8961.469593
PEL_NQ_APO-1001A,2731.479876,0,0,1,0,0,8961.548438
PEL_NQ_APO-1001A,2731.500772,0,0,0,1,0,8961.616993
PEL_NQ_APO-1001A,2731.966825,3,0,0,0,0,8963.146038
PEL_NQ_APO-1001A,2732.284698,1,0,0,0,0,8964.188928
PEL_NQ_APO-1001A,2732.289665,0,1,0,0,0,8964.205224
PEL_NQ_APO-1001A,2732.315699,0,0,1,0,0,8964.290639
PEL_NQ_APO-1001A,2732.349621,0,2,0,0,0,8964.401931
PEL_NQ_APO-1001A,2732.757119,0,0,0,1,0,8965.738865
PEL_NQ_APO-1001A,2732.771344,3,0,0,0,0,8965.785536
PEL_NQ_APO-1001A,2733.118136,1,0,0,0,0,8966.923305
PEL_NQ_APO-1001A,2733.123485,0,1,0,0,0,8966.940855
PEL_NQ_APO-1001A,2733.151522,0,0,1,0,0,8967.032841
PEL_NQ_APO-1001A,2733.575863,3,0,0,0,0,8968.425033
PEL_NQ_APO-1001A,2733.951574,1,0,0,0,0,8969.657683
PEL_NQ_APO-1001A,2733.957306,0,1,0,0,0,8969.676487
PEL_NQ_APO-1001A,2733.987346,0,0,1,0,0,8969.775043
PEL_NQ_APO-1001A,2734.013465,0,0,0,1,0,8969.860737
PEL_NQ_APO-1001A,2734.380381,3,0,0,0,0,8971.064531
PEL_NQ_APO-1001A,2734.661596,0,0,0,2,0,8971.987151
PEL_NQ_APO-1001A,2734.785013,1,0,0,0,0,8972.392061
PEL_NQ_APO-1001A,2734.791126,0,1,0,0,0,8972.412118
PEL_NQ_APO-1001A,2734.823169,0,0,1,0,0,8972.517244
PEL_NQ_APO-1001A,2735.1849,3,0,0,0,0,8973.704028
PEL_NQ_APO-1001A,2735.269812,0,0,0,1,0,8973.982609
PEL_NQ_APO-1001A,2735.618451,1,0,0,0,0,8975.126438
PEL_NQ_APO-1001A,2735.624946,0,1,0,0,0,8975.147749
PEL_NQ_APO-1001A,2735.658992,0,0,1,0,0,8975.259446
PEL_NQ_APO-1001A,2735.989419,3,0,0,0,0,8976.343526
PEL_NQ_APO-1001A,2736.451889,1,0,0,0,0,8977.860816
PEL_NQ_APO-1001A,2736.458767,0,1,0,0,0,8977.88338
