MD,Formation,Pore Pressure Gradient
5000,Above,0.6
7707.677165,QUINTUCO,0.6
9305.610236,UPR CARBONATE,0.93
9409.547244,MID CARBONATE,0.93
9606.036745,LWR CARBONATE,0.93
9923.884514,LWR ORGANIC,0.93
10072.83465,BASAL CARB,0.93
10135.1706,LA COCINA,0.93
10241.04331,CATRIEL,0.93
